object,feature,n_succ,n_fail,succ_mean,succ_std,fail_mean,fail_std,mannwhitney_U,p_raw,rank_biserial_effect_size,bonferroni_alpha,sig_bonferroni,p_bh_adjusted,sig_bh_0.05
MustardBottle,normal_consistency,35,15,0.10051,0.1315,0.00056,0.00209,420.0,0.00029381354985824577,-0.6,0.005556,SIG,0.001372,SIG
MustardBottle,local_point_density,35,15,0.00016,0.00015,2e-05,5e-05,425.0,0.0003049025493356076,-0.619,0.005556,SIG,0.001372,SIG
Pear,normal_consistency,28,22,0.05809,0.08376,0.01436,0.06581,452.5,0.0006772003385627356,-0.4692,0.005556,SIG,0.002032,SIG
MustardBottle,contact_width_ratio,35,15,0.15649,0.25778,0.0,0.0,352.5,0.011427485523592554,-0.3429,0.005556,ns,0.021355,SIG
CrackerBox,local_point_density,22,28,0.00031,0.00029,0.0001,0.00012,433.0,0.011864121531976567,-0.4058,0.005556,ns,0.021355,SIG
CrackerBox,contact_width_ratio,22,28,0.1946,0.22408,0.10309,0.22652,401.0,0.03223383564388797,-0.3019,0.005556,ns,0.048351,SIG
Pear,local_point_density,28,22,0.00168,0.00119,0.00245,0.00156,219.0,0.08364070252689075,0.289,0.005556,ns,0.107538,ns
CrackerBox,normal_consistency,22,28,0.0729,0.09746,0.14835,0.20245,318.5,0.8380978832455417,-0.0341,0.005556,ns,0.94286,ns
Pear,contact_width_ratio,28,22,0.62318,0.28158,0.7142,0.20276,309.5,0.9844033302170384,-0.0049,0.005556,ns,0.984403,ns
